claim_id,question,family,subject,text,blocked_by,reason,what_would_lift_it
skillgap-microsoft-word-google-microsoft,tech_stack,skill_gap,google|microsoft:Microsoft Word,"Microsoft asks for Microsoft Word in a larger share of its skilled postings than Google does, by 0.0253 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-perl-google-microsoft,tech_stack,skill_gap,google|microsoft:Perl,"Microsoft asks for Perl in a larger share of its skilled postings than Google does, by 0.0318 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-postgresql-google-microsoft,tech_stack,skill_gap,google|microsoft:PostgreSQL,"Microsoft asks for PostgreSQL in a larger share of its skilled postings than Google does, by 0.0304 pooled, holding in 1 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kafka-google-microsoft,tech_stack,skill_gap,google|microsoft:Kafka,"Microsoft asks for Kafka in a larger share of its skilled postings than Google does, by 0.0337 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-powershell-google-microsoft,tech_stack,skill_gap,google|microsoft:PowerShell,"Microsoft asks for PowerShell in a larger share of its skilled postings than Google does, by 0.0345 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-css-google-microsoft,tech_stack,skill_gap,google|microsoft:CSS,"Microsoft asks for CSS in a larger share of its skilled postings than Google does, by 0.0347 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-react-google-microsoft,tech_stack,skill_gap,google|microsoft:React,"Microsoft asks for React in a larger share of its skilled postings than Google does, by 0.0367 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-pytorch-google-microsoft,tech_stack,skill_gap,google|microsoft:PyTorch,"Microsoft asks for PyTorch in a larger share of its skilled postings than Google does, by 0.0544 pooled, holding in 2 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-hadoop-google-microsoft,tech_stack,skill_gap,google|microsoft:Hadoop,"Microsoft asks for Hadoop in a larger share of its skilled postings than Google does, by 0.0611 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-power-bi-google-microsoft,tech_stack,skill_gap,google|microsoft:Power BI,"Microsoft asks for Power BI in a larger share of its skilled postings than Google does, by 0.1659 pooled, holding in 3 of 4 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-r-google-nvidia,tech_stack,skill_gap,google|nvidia:R,"Google asks for R in a larger share of its skilled postings than Nvidia does, by 0.3212 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sql-google-nvidia,tech_stack,skill_gap,google|nvidia:SQL,"Google asks for SQL in a larger share of its skilled postings than Nvidia does, by 0.1993 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-looker-google-nvidia,tech_stack,skill_gap,google|nvidia:Looker,"Google asks for Looker in a larger share of its skilled postings than Nvidia does, by 0.1162 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-javascript-google-nvidia,tech_stack,skill_gap,google|nvidia:JavaScript,"Google asks for JavaScript in a larger share of its skilled postings than Nvidia does, by 0.1072 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-bigquery-google-nvidia,tech_stack,skill_gap,google|nvidia:BigQuery,"Google asks for BigQuery in a larger share of its skilled postings than Nvidia does, by 0.1060 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sas-google-nvidia,tech_stack,skill_gap,google|nvidia:SAS,"Google asks for SAS in a larger share of its skilled postings than Nvidia does, by 0.0581 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-matlab-google-nvidia,tech_stack,skill_gap,google|nvidia:MATLAB,"Google asks for MATLAB in a larger share of its skilled postings than Nvidia does, by 0.0513 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-express-google-nvidia,tech_stack,skill_gap,google|nvidia:Express,"Google asks for Express in a larger share of its skilled postings than Nvidia does, by 0.0256 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-c-sharp-google-nvidia,tech_stack,skill_gap,google|nvidia:C#,"Google asks for C# in a larger share of its skilled postings than Nvidia does, by 0.0239 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-jenkins-google-nvidia,tech_stack,skill_gap,google|nvidia:Jenkins,"Nvidia asks for Jenkins in a larger share of its skilled postings than Google does, by 0.0380 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-ansible-google-nvidia,tech_stack,skill_gap,google|nvidia:Ansible,"Nvidia asks for Ansible in a larger share of its skilled postings than Google does, by 0.0397 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-numpy-google-nvidia,tech_stack,skill_gap,google|nvidia:NumPy,"Nvidia asks for NumPy in a larger share of its skilled postings than Google does, by 0.0458 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-matplotlib-google-nvidia,tech_stack,skill_gap,google|nvidia:Matplotlib,"Nvidia asks for Matplotlib in a larger share of its skilled postings than Google does, by 0.0439 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-splunk-google-nvidia,tech_stack,skill_gap,google|nvidia:Splunk,"Nvidia asks for Splunk in a larger share of its skilled postings than Google does, by 0.0475 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-github-google-nvidia,tech_stack,skill_gap,google|nvidia:GitHub,"Nvidia asks for GitHub in a larger share of its skilled postings than Google does, by 0.0502 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-azure-google-nvidia,tech_stack,skill_gap,google|nvidia:Azure,"Nvidia asks for Azure in a larger share of its skilled postings than Google does, by 0.0748 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-bash-google-nvidia,tech_stack,skill_gap,google|nvidia:Bash,"Nvidia asks for Bash in a larger share of its skilled postings than Google does, by 0.0809 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-git-google-nvidia,tech_stack,skill_gap,google|nvidia:Git,"Nvidia asks for Git in a larger share of its skilled postings than Google does, by 0.1096 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kafka-google-nvidia,tech_stack,skill_gap,google|nvidia:Kafka,"Nvidia asks for Kafka in a larger share of its skilled postings than Google does, by 0.1291 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-aws-google-nvidia,tech_stack,skill_gap,google|nvidia:AWS,"Nvidia asks for AWS in a larger share of its skilled postings than Google does, by 0.1318 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-pytorch-google-nvidia,tech_stack,skill_gap,google|nvidia:PyTorch,"Nvidia asks for PyTorch in a larger share of its skilled postings than Google does, by 0.1841 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-linux-google-nvidia,tech_stack,skill_gap,google|nvidia:Linux,"Nvidia asks for Linux in a larger share of its skilled postings than Google does, by 0.2057 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-spark-google-nvidia,tech_stack,skill_gap,google|nvidia:Spark,"Nvidia asks for Spark in a larger share of its skilled postings than Google does, by 0.2279 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kubernetes-google-nvidia,tech_stack,skill_gap,google|nvidia:Kubernetes,"Nvidia asks for Kubernetes in a larger share of its skilled postings than Google does, by 0.2646 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-r-google-snowflake,tech_stack,skill_gap,google|snowflake:R,"Google asks for R in a larger share of its skilled postings than Snowflake does, by 0.2390 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-looker-google-snowflake,tech_stack,skill_gap,google|snowflake:Looker,"Google asks for Looker in a larger share of its skilled postings than Snowflake does, by 0.1140 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-python-google-snowflake,tech_stack,skill_gap,google|snowflake:Python,"Google asks for Python in a larger share of its skilled postings than Snowflake does, by 0.0949 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-machine-learning-google-snowflake,tech_stack,skill_gap,google|snowflake:Machine Learning,"Google asks for Machine Learning in a larger share of its skilled postings than Snowflake does, by 0.0777 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-tensorflow-google-snowflake,tech_stack,skill_gap,google|snowflake:TensorFlow,"Google asks for TensorFlow in a larger share of its skilled postings than Snowflake does, by 0.0771 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-nosql-google-snowflake,tech_stack,skill_gap,google|snowflake:NoSQL,"Google asks for NoSQL in a larger share of its skilled postings than Snowflake does, by 0.0715 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sas-google-snowflake,tech_stack,skill_gap,google|snowflake:SAS,"Google asks for SAS in a larger share of its skilled postings than Snowflake does, by 0.0581 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-bigquery-google-snowflake,tech_stack,skill_gap,google|snowflake:BigQuery,"Google asks for BigQuery in a larger share of its skilled postings than Snowflake does, by 0.0595 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-matlab-google-snowflake,tech_stack,skill_gap,google|snowflake:MATLAB,"Google asks for MATLAB in a larger share of its skilled postings than Snowflake does, by 0.0513 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-linux-google-snowflake,tech_stack,skill_gap,google|snowflake:Linux,"Google asks for Linux in a larger share of its skilled postings than Snowflake does, by 0.0417 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-sap-google-snowflake,tech_stack,skill_gap,google|snowflake:SAP,"Google asks for SAP in a larger share of its skilled postings than Snowflake does, by 0.0308 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-mongodb-google-snowflake,tech_stack,skill_gap,google|snowflake:MongoDB,"Google asks for MongoDB in a larger share of its skilled postings than Snowflake does, by 0.0293 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-c-sharp-google-snowflake,tech_stack,skill_gap,google|snowflake:C#,"Google asks for C# in a larger share of its skilled postings than Snowflake does, by 0.0217 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-oracle-google-snowflake,tech_stack,skill_gap,google|snowflake:Oracle,"Google asks for Oracle in a larger share of its skilled postings than Snowflake does, by 0.0231 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-perl-google-snowflake,tech_stack,skill_gap,google|snowflake:Perl,"Google asks for Perl in a larger share of its skilled postings than Snowflake does, by 0.0202 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-terraform-google-snowflake,tech_stack,skill_gap,google|snowflake:Terraform,"Snowflake asks for Terraform in a larger share of its skilled postings than Google does, by 0.0256 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-jira-google-snowflake,tech_stack,skill_gap,google|snowflake:Jira,"Snowflake asks for Jira in a larger share of its skilled postings than Google does, by 0.0288 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-jenkins-google-snowflake,tech_stack,skill_gap,google|snowflake:Jenkins,"Snowflake asks for Jenkins in a larger share of its skilled postings than Google does, by 0.0296 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-cassandra-google-snowflake,tech_stack,skill_gap,google|snowflake:Cassandra,"Snowflake asks for Cassandra in a larger share of its skilled postings than Google does, by 0.0298 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-git-google-snowflake,tech_stack,skill_gap,google|snowflake:Git,"Snowflake asks for Git in a larger share of its skilled postings than Google does, by 0.0354 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-node-dot-js-google-snowflake,tech_stack,skill_gap,google|snowflake:Node.js,"Snowflake asks for Node.js in a larger share of its skilled postings than Google does, by 0.0420 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-redshift-google-snowflake,tech_stack,skill_gap,google|snowflake:Redshift,"Snowflake asks for Redshift in a larger share of its skilled postings than Google does, by 0.0413 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-numpy-google-snowflake,tech_stack,skill_gap,google|snowflake:NumPy,"Snowflake asks for NumPy in a larger share of its skilled postings than Google does, by 0.0485 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-vmware-google-snowflake,tech_stack,skill_gap,google|snowflake:VMware,"Snowflake asks for VMware in a larger share of its skilled postings than Google does, by 0.0536 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-react-google-snowflake,tech_stack,skill_gap,google|snowflake:React,"Snowflake asks for React in a larger share of its skilled postings than Google does, by 0.0566 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kafka-google-snowflake,tech_stack,skill_gap,google|snowflake:Kafka,"Snowflake asks for Kafka in a larger share of its skilled postings than Google does, by 0.0640 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-kubernetes-google-snowflake,tech_stack,skill_gap,google|snowflake:Kubernetes,"Snowflake asks for Kubernetes in a larger share of its skilled postings than Google does, by 0.0879 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-typescript-google-snowflake,tech_stack,skill_gap,google|snowflake:TypeScript,"Snowflake asks for TypeScript in a larger share of its skilled postings than Google does, by 0.0908 pooled, holding in 1 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-docker-google-snowflake,tech_stack,skill_gap,google|snowflake:Docker,"Snowflake asks for Docker in a larger share of its skilled postings than Google does, by 0.0952 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-scikit-learn-google-snowflake,tech_stack,skill_gap,google|snowflake:scikit-learn,"Snowflake asks for scikit-learn in a larger share of its skilled postings than Google does, by 0.0994 pooled, holding in 3 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-airflow-google-snowflake,tech_stack,skill_gap,google|snowflake:Airflow,"Snowflake asks for Airflow in a larger share of its skilled postings than Google does, by 0.1051 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-windows-google-snowflake,tech_stack,skill_gap,google|snowflake:Windows,"Snowflake asks for Windows in a larger share of its skilled postings than Google does, by 0.1176 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-gcp-google-snowflake,tech_stack,skill_gap,google|snowflake:GCP,"Snowflake asks for GCP in a larger share of its skilled postings than Google does, by 0.1338 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-spark-google-snowflake,tech_stack,skill_gap,google|snowflake:Spark,"Snowflake asks for Spark in a larger share of its skilled postings than Google does, by 0.1420 pooled, holding in 4 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
skillgap-java-google-snowflake,tech_stack,skill_gap,google|snowflake:Java,"Snowflake asks for Java in a larger share of its skilled postings than Google does, by 0.2390 pooled, holding in 2 of 5 job functions",identification,mixed -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-swift,tech_stack,distinctiveness,google:Swift,"Google asks for Swift in 0.5% of its skilled postings against 0.0% across the other five, a difference of 0.0051",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-flutter,tech_stack,distinctiveness,google:Flutter,"Google asks for Flutter in 0.2% of its skilled postings against 0.0% across the other five, a difference of 0.0017",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-dart,tech_stack,distinctiveness,google:Dart,"Google asks for Dart in 0.2% of its skilled postings against 0.0% across the other five, a difference of 0.0017",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-cognos,tech_stack,distinctiveness,google:Cognos,"Google asks for Cognos in 0.7% of its skilled postings against 0.0% across the other five, a difference of 0.0064",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-firebase,tech_stack,distinctiveness,google:Firebase,"Google asks for Firebase in 0.2% of its skilled postings against 0.0% across the other five, a difference of 0.0017",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-macos,tech_stack,distinctiveness,google:macOS,"Google asks for macOS in 0.7% of its skilled postings against 0.0% across the other five, a difference of 0.0064",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-microsoft-access,tech_stack,distinctiveness,google:Microsoft Access,"Google asks for Microsoft Access in 0.2% of its skilled postings against 0.0% across the other five, a difference of 0.0017",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-mxnet,tech_stack,distinctiveness,google:MXNet,"Google asks for MXNet in 0.5% of its skilled postings against 0.0% across the other five, a difference of 0.0047",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-rust,tech_stack,distinctiveness,google:Rust,"Google asks for Rust in 0.7% of its skilled postings against 0.1% across the other five, a difference of 0.0059",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-objective-c,tech_stack,distinctiveness,google:Objective-C,"Google asks for Objective-C in 0.7% of its skilled postings against 0.1% across the other five, a difference of 0.0059",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-plotly,tech_stack,distinctiveness,google:Plotly,"Google asks for Plotly in 0.9% of its skilled postings against 0.1% across the other five, a difference of 0.0072",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-assembly,tech_stack,distinctiveness,google:Assembly,"Google asks for Assembly in 0.5% of its skilled postings against 0.1% across the other five, a difference of 0.0042",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-kotlin,tech_stack,distinctiveness,google:Kotlin,"Google asks for Kotlin in 0.5% of its skilled postings against 0.1% across the other five, a difference of 0.0042",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-colocation,tech_stack,distinctiveness,google:Colocation,"Google asks for Colocation in 0.7% of its skilled postings against 0.1% across the other five, a difference of 0.0055",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-microstrategy,tech_stack,distinctiveness,google:MicroStrategy,"Google asks for MicroStrategy in 0.7% of its skilled postings against 0.3% across the other five, a difference of 0.0038",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-ubuntu,tech_stack,distinctiveness,google:Ubuntu,"Google asks for Ubuntu in 0.2% of its skilled postings against 0.1% across the other five, a difference of 0.0004",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-unix,tech_stack,distinctiveness,google:Unix,"Google asks for Unix in 1.0% of its skilled postings against 0.7% across the other five, a difference of 0.0030",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-c,tech_stack,distinctiveness,google:C,"Google asks for C in 6.1% of its skilled postings against 4.2% across the other five, a difference of 0.0193",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-django,tech_stack,distinctiveness,google:Django,"Google asks for Django in 0.0% of its skilled postings against 0.0% across the other five, a difference of -0.0004",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-html,tech_stack,distinctiveness,google:HTML,"Google asks for HTML in 1.5% of its skilled postings against 1.2% across the other five, a difference of 0.0035",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-groovy,tech_stack,distinctiveness,google:Groovy,"Google asks for Groovy in 0.0% of its skilled postings against 0.0% across the other five, a difference of -0.0004",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-vue-dot-js,tech_stack,distinctiveness,google:Vue.js,"Google asks for Vue.js in 0.0% of its skilled postings against 0.0% across the other five, a difference of -0.0004",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-gdpr,tech_stack,distinctiveness,google:GDPR,"Google asks for GDPR in 0.2% of its skilled postings against 0.2% across the other five, a difference of 0",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-cuda,tech_stack,distinctiveness,google:CUDA,"Google asks for CUDA in 0.0% of its skilled postings against 0.0% across the other five, a difference of -0.0004",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-ansible,tech_stack,distinctiveness,google:Ansible,"Google asks for Ansible in 0.9% of its skilled postings against 0.7% across the other five, a difference of 0.0017",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-sas,tech_stack,distinctiveness,google:SAS,"Google asks for SAS in 5.8% of its skilled postings against 4.4% across the other five, a difference of 0.0138",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-matlab,tech_stack,distinctiveness,google:MATLAB,"Google asks for MATLAB in 5.1% of its skilled postings against 4.0% across the other five, a difference of 0.0112",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-google-sheets,tech_stack,distinctiveness,google:Google Sheets,"Google asks for Google Sheets in 0.9% of its skilled postings against 0.8% across the other five, a difference of 0.0005",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-puppet,tech_stack,distinctiveness,google:Puppet,"Google asks for Puppet in 0.5% of its skilled postings against 0.5% across the other five, a difference of 0",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-jupyter,tech_stack,distinctiveness,google:Jupyter,"Google asks for Jupyter in 0.5% of its skilled postings against 0.5% across the other five, a difference of 0",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-chef,tech_stack,distinctiveness,google:Chef,"Google asks for Chef in 0.5% of its skilled postings against 0.5% across the other five, a difference of 0",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-qlik,tech_stack,distinctiveness,google:Qlik,"Google asks for Qlik in 0.2% of its skilled postings against 0.2% across the other five, a difference of -0.0004",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-splunk,tech_stack,distinctiveness,google:Splunk,"Google asks for Splunk in 0.5% of its skilled postings against 0.6% across the other five, a difference of -0.0008",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-c-plus-plus,tech_stack,distinctiveness,google:C++,"Google asks for C++ in 17.3% of its skilled postings against 18.1% across the other five, a difference of -0.0079",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-python,tech_stack,distinctiveness,google:Python,"Google asks for Python in 63.0% of its skilled postings against 66.1% across the other five, a difference of -0.0303",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-java,tech_stack,distinctiveness,google:Java,"Google asks for Java in 22.4% of its skilled postings against 23.5% across the other five, a difference of -0.0114",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-spss,tech_stack,distinctiveness,google:SPSS,"Google asks for SPSS in 1.2% of its skilled postings against 1.4% across the other five, a difference of -0.0016",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-computer-vision,tech_stack,distinctiveness,google:Computer Vision,"Google asks for Computer Vision in 0.2% of its skilled postings against 0.2% across the other five, a difference of -0.0008",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-perl,tech_stack,distinctiveness,google:Perl,"Google asks for Perl in 2.9% of its skilled postings against 3.3% across the other five, a difference of -0.0045",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-terraform,tech_stack,distinctiveness,google:Terraform,"Google asks for Terraform in 1.2% of its skilled postings against 1.5% across the other five, a difference of -0.0029",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
distinct-flask,tech_stack,distinctiveness,google:Flask,"Google asks for Flask in 0.0% of its skilled postings against 0.1% across the other five, a difference of -0.0008",identification,False -> refused,"more months, more publishers, or a stratum with enough support to settle the upstream verdict"
